JobURL,Designation,company_name,Location,Experience,Salary
https://www.naukri.com/job-listings-data-analyst-vn2-solutions-hyderabad-bengaluru-mumbai-all-areas-2-to-5-years-181223005399,Data Analyst,VN2 Solutions,"Hyderabad, Bengaluru, Mumbai (All Areas)",2-5 Yrs,Not disclosed
https://www.naukri.com/job-listings-data-analyst-india-medtronic-pvt-ltd-hyderabad-secunderabad-4-to-9-years-291223502579,Data Analyst,Medtronic,Hyderabad/Secunderabad,4-9 Yrs,Not disclosed
https://www.naukri.com/job-listings-data-analyst-infosys-limited-trivandrum-thiruvananthapuram-5-to-7-years-281223908949,Data Analyst,Infosys,Trivandrum/Thiruvananthapuram,5-7 Yrs,Not disclosed
https://www.naukri.com/job-listings-data-analyst-capgemini-technology-services-india-limited-hyderabad-secunderabad-4-to-9-years-281223908751,Data Analyst,Capgemini,Hyderabad/Secunderabad,4-9 Yrs,Not disclosed
https://www.naukri.com/job-listings-data-analyst-skf-technologies-india-private-limited-bangalore-bengaluru-2-to-4-years-291223501715,Data Analyst,SKF Technologies,Bangalore/Bengaluru,2-4 Yrs,Not disclosed
https://www.naukri.com/job-listings-urgent-hiring-data-analysts-epp-composites-pvt-ltd-rajkot-epp-composites-rajkot-gujarat-3-to-4-years-261223004603,"Urgent Hiring || Data Analysts || @ EPP Composites Pvt. Ltd., Rajkot",Epp Composites,"Rajkot, Gujarat",3-4 Yrs,Not disclosed
https://www.naukri.com/job-listings-data-analyst-excitel-broadband-new-delhi-delhi-2-to-5-years-231223003395,Data Analyst,Excitel Broadband,"New Delhi, Delhi",2-5 Yrs,Not disclosed
https://www.naukri.com/job-listings-data-analyst-immediate-hiring-flexsin-technologies-noida-uttar-pradesh-delhi-ncr-5-to-10-years-071223008717,Data Analyst - Immediate Hiring,Flexsin Technologies,"Hybrid - Noida, Uttar Pradesh, Delhi / NCR",5-10 Yrs,Not disclosed
https://www.naukri.com/job-listings-data-analyst-anz-banking-group-bangalore-bengaluru-1-to-5-years-271223501025,Data Analyst,ANZ,Bangalore/Bengaluru,1-5 Yrs,Not disclosed
https://www.naukri.com/job-listings-looking-for-a-data-analyst-andheri-immediate-joining-males-only-millennium-organisation-mumbai-all-areas-1-to-4-years-281223006655,Looking For A Data Analyst Andheri Immediate Joining (Males only),Millennium Organisation,Mumbai (All Areas),1-4 Yrs,2.5-4.25 Lacs PA
